Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ALXN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC
2017-04-04,190.190002,44.18,65.110001,118.040001,49.040001,173.929993,130.039993,143.039993,11.27,127.849998,160.089996,72.610001,52.619999,135.350006,59.299999,90.220001,105.50,118.300003,74.900002,238.429993,250.970001,39.869999,81.629997,852.570007,834.570007,71.949997,906.830017,54.720001,40.900002,67.290001,78.260002,62.18,120.739998,77.720001,128.899994,86.93,53.759998,164.360001,69.900002,62.709999
2017-04-03,190.720001,44.470001,65.029999,117.639999,49.529999,204.059998,129.589996,145.50,11.19,128.740005,162.970001,72.660004,53.200001,134.949997,58.099998,92.370003,105.029999,119.290001,75.720001,237.679993,250.330002,39.59,81.32,856.75,838.549988,71.620003,891.51001,54.57,42.450001,67.150002,78.589996,61.790001,121.150002,77.139999,129.570007,87.330002,53.669998,163.889999,70.290001,61.790001
2017-03-31,191.330002,44.41,65.160004,119.879997,49.860001,204.00,130.130005,148.259995,11.18,127.550003,163.940002,72.419998,52.869999,135.289993,59.700001,92.220001,105.639999,121.239998,75.699997,238.919998,249.00,39.610001,81.489998,847.799988,829.559998,71.419998,886.539978,54.59,42.299999,67.129997,79.110001,62.43,121.540001,77.769997,129.679993,88.50,54.080002,164.070007,71.169998,62.00
2017-03-30,191.279999,44.549999,65.459999,120.519997,50.189999,206.559998,129.610001,148.669998,11.08,126.910004,163.940002,72.32,53.32,135.600006,60.529999,93.660004,105.139999,122.080002,75.860001,239.800003,248.880005,39.57,81.639999,849.47998,831.50,72.050003,876.340027,54.689999,42.540001,67.160004,79.209999,62.57,120.910004,77.00,129.660004,89.139999,54.119999,164.380005,71.889999,62.169998
2017-03-29,190.679993,44.669998,65.769997,120.980003,50.139999,207.270004,129.580002,149.669998,11.25,125.730003,162.869995,71.580002,53.119999,136.779999,63.439999,94.300003,105.040001,120.720001,75.410004,241.339996,245.330002,39.98,81.389999,849.869995,831.409973,72.959999,874.320007,55.130001,41.959999,67.389999,78.25,61.77,121.040001,77.169998,127.400002,89.510002,54.189999,163.059998,71.309998,62.450001
2017-03-28,190.990005,44.700001,65.980003,121.349998,49.759998,202.350006,128.690002,148.360001,11.31,127.010002,163.699997,72.309998,53.439999,137.25,63.25,96.330002,104.879997,118.529999,75.120003,240.529999,244.699997,40.119999,81.889999,840.630005,820.919983,73.190002,856.00,55.310001,42.599998,67.839996,78.639999,61.860001,120.389999,77.190002,128.360001,87.50,53.93,164.710007,71.32,61.139999
2017-03-27,190.429993,44.700001,66.099998,119.389999,49.299999,198.589996,128.25,147.800003,11.13,126.260002,159.00,71.839996,53.240002,135.919998,63.09,95.00,104.599998,118.830002,74.889999,239.380005,243.429993,40.060001,81.089996,838.51001,819.51001,73.199997,846.820007,56.049999,41.740002,67.690002,77.599998,60.93,120.010002,76.839996,125.279999,87.480003,53.50,164.910004,70.980003,59.939999
2017-03-24,191.509995,44.73,65.620003,118.980003,49.119999,200.00,127.699997,149.729996,11.23,126.769997,158.860001,71.989998,53.080002,134.940002,63.630001,94.699997,104.449997,119.260002,75.050003,237.330002,243.789993,40.099998,80.989998,835.140015,814.429993,73.169998,845.609985,56.189999,41.73,67.790001,78.199997,60.880001,119.32,77.089996,125.260002,86.559998,53.419998,165.740005,70.970001,60.34
2017-03-23,192.139999,44.77,65.650002,120.760002,48.779999,202.339996,126.870003,150.779999,11.18,127.830002,158.889999,72.00,53.18,137.050003,63.66,94.050003,105.150002,120.260002,74.860001,235.289993,242.919998,39.84,81.260002,839.650024,817.580017,74.019997,847.380005,56.049999,41.41,67.449997,77.839996,61.34,118.949997,76.489998,125.660004,85.989998,53.459999,166.039993,70.900002,60.790001
2017-03-22,192.220001,44.810001,65.519997,126.480003,48.68,205.100006,126.209999,151.270004,11.15,128.330002,159.220001,71.639999,53.130001,136.410004,63.68,92.919998,105.220001,120.080002,74.769997,233.990005,240.869995,39.779999,81.379997,849.799988,829.590027,75.07,848.059998,56.040001,40.349998,67.440002,77.669998,61.240002,118.309998,77.160004,125.209999,85.879997,53.360001,167.449997,70.959999,61.630001
2017-03-21,192.130005,44.799999,65.349998,124.639999,48.220001,203.25,125.07,151.220001,11.30,129.089996,159.289993,71.410004,52.66,136.449997,62.950001,92.110001,104.25,118.699997,74.269997,234.550003,239.289993,39.700001,81.690002,850.140015,830.460022,75.93,843.200012,55.490002,40.419998,66.980003,77.529999,61.759998,116.739998,76.489998,125.870003,85.910004,53.299999,166.850006,70.410004,61.82
2017-03-20,193.009995,44.98,65.800003,124.389999,48.959999,206.229996,126.309998,152.440002,11.20,130.350006,162.029999,72.239998,53.150002,138.690002,64.860001,94.82,106.07,120.199997,75.230003,236.949997,244.539993,39.099998,82.370003,867.909973,848.400024,75.580002,856.969971,54.689999,41.700001,66.129997,78.849998,62.369999,115.980003,75.93,130.490005,86.910004,54.209999,169.240005,71.339996,62.84
2017-03-17,192.360001,45.189999,65.690002,125.220001,49.130001,208.339996,127.010002,152.399994,11.46,131.800003,162.809998,72.529999,53.310001,139.529999,65.00,93.360001,106.209999,122.080002,75.480003,237.380005,245.009995,39.560001,82.849998,872.369995,852.119995,75.160004,852.309998,55.049999,41.720001,66.470001,79.25,62.419998,116.010002,76.199997,131.710007,87.529999,54.310001,168.610001,71.339996,63.25
2017-03-16,190.309998,44.98,65.900002,124.099998,49.099998,209.429993,122.349998,153.410004,11.30,133.059998,166.00,72.400002,53.049999,137.970001,64.629997,94.139999,104.010002,122.410004,75.150002,239.419998,245.089996,39.130001,82.889999,870.00,848.780029,75.300003,853.419983,54.349998,42.130001,66.010002,79.769997,62.91,115.089996,75.739998,134.600006,88.00,54.099998,180.110001,71.440002,63.400002
2017-03-15,191.199997,45.32,66.550003,124.800003,49.220001,207.350006,122.110001,152.919998,11.31,134.110001,165.860001,72.349998,54.099998,137.990005,64.389999,95.360001,105.220001,122.120003,74.919998,240.669998,245.550003,39.580002,82.620003,868.390015,847.200012,75.669998,852.969971,54.790001,42.09,66.68,79.230003,63.23,115.279999,77.220001,133.669998,89.480003,54.099998,182.600006,71.860001,64.080002
2017-03-14,190.330002,44.799999,65.669998,123.910004,49.080002,205.75,121.440002,153.710007,11.00,131.960007,164.289993,71.839996,52.209999,136.179993,63.630001,94.50,103.949997,121.599998,74.370003,239.449997,245.529999,38.869999,82.18,865.909973,845.619995,75.339996,852.530029,54.02,41.209999,65.790001,79.690002,62.880001,114.019997,76.010002,132.410004,88.809998,53.50,180.119995,70.949997,61.810001
2017-03-13,191.520004,45.529999,65.849998,124.040001,49.50,210.199997,121.800003,154.350006,11.02,132.619995,163.800003,72.050003,52.450001,137.820007,64.589996,96.580002,104.50,124.739998,74.760002,240.649994,247.820007,38.75,82.099998,864.580017,845.539978,75.650002,854.590027,54.189999,42.369999,65.809998,79.209999,63.18,114.260002,76.089996,132.589996,89.139999,54.27,181.050003,71.389999,62.82
2017-03-10,191.210007,45.720001,65.879997,123.93,49.200001,211.589996,121.089996,153.970001,11.15,132.800003,163.899994,72.019997,52.150002,138.770004,64.220001,96.610001,103.050003,127.309998,74.470001,241.149994,248.199997,38.610001,82.050003,861.409973,843.25,76.449997,852.460022,53.889999,43.900002,65.400002,79.379997,63.080002,113.580002,75.919998,132.100006,88.309998,53.619999,181.440002,70.550003,61.889999
2017-03-09,189.899994,45.630001,64.50,123.18,49.02,208.229996,119.910004,155.149994,11.06,132.809998,165.300003,72.089996,51.43,138.580002,64.199997,94.779999,102.50,126.550003,73.459999,240.179993,247.929993,38.299999,81.57,857.840027,838.679993,76.190002,853.00,54.119999,43.330002,64.839996,79.300003,63.209999,113.00,75.279999,132.720001,88.610001,53.790001,178.919998,70.139999,61.939999
2017-03-08,189.509995,45.360001,64.139999,124.459999,48.580002,206.869995,119.599998,155.210007,11.07,131.710007,166.350006,71.889999,51.41,139.559998,63.549999,95.199997,102.739998,127.410004,73.110001,239.440002,246.190002,38.389999,81.129997,853.640015,835.369995,75.839996,850.50,54.119999,44.889999,65.150002,79.040001,63.439999,113.239998,75.470001,132.559998,89.080002,54.52,177.779999,70.379997,61.400002
2017-03-07,189.089996,45.00,63.689999,124.139999,48.060001,205.410004,119.980003,151.990005,11.33,130.589996,166.559998,71.949997,51.209999,139.639999,63.299999,95.120003,103.790001,129.179993,72.860001,239.600006,245.050003,39.279999,81.459999,851.150024,831.909973,76.099998,846.02002,54.82,44.84,66.239998,79.580002,63.450001,114.699997,76.889999,132.179993,88.480003,54.509998,177.380005,70.269997,63.16
2017-03-06,188.899994,45.130001,63.549999,123.239998,47.810001,204.910004,120.150002,154.25,11.52,131.300003,167.190002,72.190002,51.25,139.309998,63.060001,96.629997,102.110001,133.330002,73.209999,242.360001,245.449997,39.18,81.339996,847.27002,827.780029,75.580002,846.609985,54.889999,45.310001,66.349998,79.50,63.779999,114.709999,77.300003,132.429993,89.989998,54.610001,179.460007,70.129997,63.25
